form_code,operation,field_key,question_title,type,required,choices,validation
student-profile,student.profile.submit,institution_code,Institution code,list,yes,DMU | DCS,
student-profile,student.profile.submit,campus_code,Campus code,list,yes,ISB | FSD | NORTH | SOUTH,
student-profile,student.profile.submit,submission_type,Submission type,multiple_choice,yes,New admission/profile | Update existing profile,
student-profile,student.profile.submit,student_number,Student number (leave blank only for a new admission),text,no,,
student-profile,student.profile.submit,full_name,Full legal name,text,yes,,
student-profile,student.profile.submit,date_of_birth,Date of birth,date,yes,,
student-profile,student.profile.submit,gender,Gender,list,no,Female | Male | Other | Prefer not to say,
student-profile,student.profile.submit,primary_email,Primary email address,text,yes,,email
student-profile,student.profile.submit,mobile_phone,Mobile phone number,text,yes,,
student-profile,student.profile.submit,guardian_name,Guardian name (required for school students),text,no,,
student-profile,student.profile.submit,guardian_phone,Guardian phone (required for school students),text,no,,
student-profile,student.profile.submit,identity_reference,Institution-approved identity reference,text,no,,
student-profile,student.profile.submit,program_code,Program or qualification code,text,yes,,
student-profile,student.profile.submit,academic_year_code,Academic year code,text,yes,,
student-profile,student.profile.submit,admission_term_code,Admission term code,text,yes,,
student-profile,student.profile.submit,previous_qualification,Previous qualification or school,paragraph,no,,
student-profile,student.profile.submit,document_links,Required document Drive links (one per line),paragraph,no,,
student-profile,student.profile.submit,additional_notes,Additional notes,paragraph,no,,
student-profile,student.profile.submit,consent,I confirm that the information is accurate and may be processed for academic administration.,checkbox,yes,I confirm,
enrollment-request,enrollment.submit,institution_code,Institution code,list,yes,DMU | DCS,
enrollment-request,enrollment.submit,campus_code,Campus code,list,yes,ISB | FSD | NORTH | SOUTH,
enrollment-request,enrollment.submit,student_number,Student number,text,yes,,
enrollment-request,enrollment.submit,program_code,Program or qualification code,text,yes,,
enrollment-request,enrollment.submit,term_code,Term or semester code,text,yes,,
enrollment-request,enrollment.submit,requested_course_codes,Requested course or subject codes (comma-separated),paragraph,yes,,
enrollment-request,enrollment.submit,preferred_section_codes,"Preferred section codes in the same order (optional, comma-separated)",paragraph,no,,
enrollment-request,enrollment.submit,allow_fallback,Allow another valid section when the preferred section is unavailable?,multiple_choice,yes,Yes | No,
enrollment-request,enrollment.submit,request_notes,Enrollment notes,paragraph,no,,
enrollment-request,enrollment.submit,consent,"I understand that prerequisites, capacity, timetable, document and load rules will be checked.",checkbox,yes,I confirm,
teacher-marks,marks.batch.submit,institution_code,Institution code,list,yes,DMU | DCS,
teacher-marks,marks.batch.submit,campus_code,Campus code,list,yes,ISB | FSD | NORTH | SOUTH,
teacher-marks,marks.batch.submit,term_code,Term or semester code,text,yes,,
teacher-marks,marks.batch.submit,course_offering_code,Course offering code,text,yes,,
teacher-marks,marks.batch.submit,section_code,Section code,text,yes,,
teacher-marks,marks.batch.submit,assessment_code,Assessment code,text,yes,,
teacher-marks,marks.batch.submit,submission_state,Submission state,multiple_choice,yes,Draft | Finalize after validation,
teacher-marks,marks.batch.submit,marks_lines,"Marks — one line per student: student_number,marks,absent,remarks",paragraph,yes,,
teacher-marks,marks.batch.submit,teacher_notes,Teacher notes,paragraph,no,,
teacher-marks,marks.batch.submit,declaration,I confirm that I am assigned to this class and that these marks are accurate.,checkbox,yes,I confirm,
marks-file-upload,marks.file.submit,institution_code,Institution code,list,yes,DMU | DCS,
marks-file-upload,marks.file.submit,campus_code,Campus code,list,yes,ISB | FSD | NORTH | SOUTH,
marks-file-upload,marks.file.submit,term_code,Term or semester code,text,yes,,
marks-file-upload,marks.file.submit,course_offering_code,Course offering code,text,yes,,
marks-file-upload,marks.file.submit,section_code,Section code,text,yes,,
marks-file-upload,marks.file.submit,assessment_code,Assessment code,text,yes,,
marks-file-upload,marks.file.submit,submission_state,Submission state,multiple_choice,yes,Draft | Finalize after validation,
marks-file-upload,marks.file.submit,file_drive_url,Uploaded CSV or Excel Google Drive URL,text,yes,,url
marks-file-upload,marks.file.submit,original_file_name,Original file name,text,yes,,
marks-file-upload,marks.file.submit,file_notes,File notes,paragraph,no,,
marks-file-upload,marks.file.submit,declaration,I confirm that I am authorized to submit this class file.,checkbox,yes,I confirm,
mark-correction,marks.correction.request,institution_code,Institution code,list,yes,DMU | DCS,
mark-correction,marks.correction.request,campus_code,Campus code,list,yes,ISB | FSD | NORTH | SOUTH,
mark-correction,marks.correction.request,marks_batch_id,Marks batch ID,text,yes,,
mark-correction,marks.correction.request,student_mark_id,Student mark ID,text,yes,,
mark-correction,marks.correction.request,student_number,Student number,text,yes,,
mark-correction,marks.correction.request,assessment_code,Assessment code,text,yes,,
mark-correction,marks.correction.request,current_marks,Current marks,text,yes,,
mark-correction,marks.correction.request,proposed_marks,Proposed corrected marks,text,yes,,
mark-correction,marks.correction.request,reason,Detailed reason for correction,paragraph,yes,,
mark-correction,marks.correction.request,evidence_drive_url,Supporting evidence Drive URL (optional),text,no,,url
mark-correction,marks.correction.request,declaration,I confirm that this request is accurate and auditable.,checkbox,yes,I confirm,
transcript-request,transcript.request,institution_code,Institution code,list,yes,DMU | DCS,
transcript-request,transcript.request,campus_code,Campus code,list,yes,ISB | FSD | NORTH | SOUTH,
transcript-request,transcript.request,student_number,Student number,text,yes,,
transcript-request,transcript.request,requester_relationship,Requester relationship,multiple_choice,yes,Student | Parent/guardian | Authorized institutional staff,
transcript-request,transcript.request,student_date_of_birth,Student date of birth,date,yes,,
transcript-request,transcript.request,recipient_email,Approved recipient email,text,yes,,email
transcript-request,transcript.request,purpose,Purpose of transcript,list,yes,Personal record | Admission | Employment | Scholarship | HEC/official verification | Other,
transcript-request,transcript.request,purpose_details,Purpose details,paragraph,no,,
transcript-request,transcript.request,delivery_preference,Delivery preference,multiple_choice,yes,PDF by email | PDF saved for staff collection,
transcript-request,transcript.request,consent,I authorize verification and delivery to the stated recipient.,checkbox,yes,I authorize,
