function,operation,caller,idempotent,arguments,returns,purpose,migration
rpc_apply_scheduled_maintenance,operations.maintenance.apply,service_role,Yes,p_request jsonb,jsonb,"Release stale claims, dead-letter exhausted work and supersede stale drafts.",20260717000700_phase2_public_rpc_contract.sql
rpc_begin_notification_attempt,notification.attempt.begin,service_role,Yes,p_request jsonb,jsonb,Reserve a unique provider attempt before sending and suppress replayed provider calls.,20260717000900_phase4_wave1_form_integration.sql
rpc_claim_notifications,notification.claim,service_role,No,p_request jsonb,jsonb,Claim a bounded batch and dead-letter stale uncertain provider attempts before any resend.,20260717000900_phase4_wave1_form_integration.sql
rpc_create_hec_report_run,hec.report.create,authenticated registrar/admin,Yes,p_request jsonb,jsonb,Create an idempotent HEC reporting run.,20260717000700_phase2_public_rpc_contract.sql
rpc_create_transcript_request,transcript.request,authenticated student/staff or service_role,Yes,p_request jsonb,jsonb,Create an authorized transcript request and return one stable object.,20260717000700_phase2_public_rpc_contract.sql
rpc_decide_enrollment,enrollment.decision,authenticated admin,Yes,p_request jsonb,jsonb,Record an authorized manual enrollment decision.,20260717000700_phase2_public_rpc_contract.sql
rpc_decide_mark_correction,marks.correction.decision,authenticated registrar/admin,Yes,p_request jsonb,jsonb,Approve or reject and apply a mark correction.,20260717000700_phase2_public_rpc_contract.sql
rpc_decide_marks_batch,marks.batch.decision,authenticated registrar/admin,Yes,p_request jsonb,jsonb,Approve or reject a finalized marks batch.,20260717000700_phase2_public_rpc_contract.sql
rpc_finalize_marks_batch,marks.batch.finalize,teacher or service_role,Yes,p_request jsonb,jsonb,Finalize one draft once after validation.,20260717000700_phase2_public_rpc_contract.sql
rpc_get_dashboard_snapshot,dashboard.snapshot.get,authenticated authorized staff or service_role,No,p_request jsonb,jsonb,Return one operational and academic dashboard snapshot.,20260717000700_phase2_public_rpc_contract.sql
rpc_get_hec_enrollment_data,hec.report.data.get,authenticated registrar/admin or service_role,No,p_request jsonb,jsonb,Return institution-scoped enrollment reporting data.,20260717000700_phase2_public_rpc_contract.sql
rpc_get_operations_snapshot,operations.snapshot.get,authenticated admin or service_role,No,p_request jsonb,jsonb,"Return workflow, incident and notification health metrics.",20260717000700_phase2_public_rpc_contract.sql
rpc_get_transcript_model,transcript.model.get,authenticated authorized caller or service_role,No,p_request jsonb,jsonb,Return one complete transcript JSON model.,20260717000700_phase2_public_rpc_contract.sql
rpc_log_workflow_run,workflow.run.log,service_role,Yes,p_request jsonb,jsonb,Create or update durable n8n execution evidence.,20260717000700_phase2_public_rpc_contract.sql
rpc_promote_waitlist,enrollment.waitlist.promote,authenticated admin or service_role,Yes,p_request jsonb,jsonb,Promote the next valid waitlist entry under locking and capacity checks.,20260717000700_phase2_public_rpc_contract.sql
rpc_publish_results,results.publish,authenticated registrar/admin,Yes,p_request jsonb,jsonb,"Calculate course grades, GPA, CGPA and standing, then publish results.",20260717000700_phase2_public_rpc_contract.sql
rpc_record_generated_report,report.file.record,service_role,Yes,p_request jsonb,jsonb,Record generated report files and notification work.,20260717000700_phase2_public_rpc_contract.sql
rpc_record_incident,incident.record,service_role,Yes,p_request jsonb,jsonb,Create or deduplicate an operational incident.,20260717000700_phase2_public_rpc_contract.sql
rpc_record_notification_attempt,notification.delivery.record,service_role,Yes,p_request jsonb,jsonb,Idempotently finalize one reserved provider attempt and update bounded retry/dead-letter state.,20260717000900_phase4_wave1_form_integration.sql
rpc_record_transcript_document,transcript.document.record,service_role,Yes,p_request jsonb,jsonb,Record generated transcript metadata and delivery work.,20260717000700_phase2_public_rpc_contract.sql
rpc_request_mark_correction,marks.correction.request,teacher or service_role,Yes,p_request jsonb,jsonb,Open a controlled correction request.,20260717000700_phase2_public_rpc_contract.sql
rpc_search_students,student.admin.search,authenticated authorized staff,No,p_request jsonb,jsonb,Return bounded institution/campus-scoped student search results.,20260717000700_phase2_public_rpc_contract.sql
rpc_submit_enrollment_from_form,enrollment.form.submit,service_role,Yes,p_request jsonb,jsonb,Resolve Google Form codes to tenant-scoped identifiers and invoke transactional enrollment.,20260717000900_phase4_wave1_form_integration.sql
rpc_submit_enrollment_request,enrollment.submit,service_role,Yes,p_request jsonb,jsonb,"Evaluate period, student state, documents, prerequisites, load, schedule, capacity, fallback and waitlist transactionally.",20260717000700_phase2_public_rpc_contract.sql
rpc_submit_marks_batch,marks.batch.submit,teacher or service_role,Yes,p_request jsonb,jsonb,Create a versioned marks draft and validate class membership and ranges.,20260717000700_phase2_public_rpc_contract.sql
rpc_submit_student_profile,student.profile.submit,service_role,Yes,p_request jsonb,jsonb,"Create or update a student profile, program registration, documents, audit record and outbox notification.",20260717000700_phase2_public_rpc_contract.sql
rpc_submit_student_profile_from_form,student.profile.form.submit,service_role,Yes,p_request jsonb,jsonb,"Resolve Google Form codes, hash identity data and invoke idempotent student intake.",20260717000900_phase4_wave1_form_integration.sql
